ID,Text
1490112655620771842,RT @cryptOhGaga: @wildkait Little something I've learned is don't go in blindly. Just because you know the brand is amazing I.E. $RBLX $UPS…
1490111746081804288,@KessInvesting Thank for this kess. In the spirit of learning. With $ON er and $NVDA er coming you think that could… https://t.co/UYbD5c4MqJ
1490111715517755394,"RT @DefinitionBot: Count of mentions for the tickers in last 1 hr

1. $AMC: 131 (21)
2. $TSLA: 90 (-14)
3. $FB: 89 (-90)
4. $AMZN: 64 (3)
5…"
1490111710866583552,"RT @DefinitionBot: Count of mentions for the tickers in last 1 hr

1. $AMC: 131 (21)
2. $TSLA: 90 (-14)
3. $FB: 89 (-90)
4. $AMZN: 64 (3)
5…"
1490111706088947712,"RT @DefinitionBot: Count of mentions for the tickers in last 1 hr

1. $AMC: 131 (21)
2. $TSLA: 90 (-14)
3. $FB: 89 (-90)
4. $AMZN: 64 (3)
5…"
1490111326655557641,"The VC Tax Fairness Act would exempt personal transactions made with crypto when gains are $200 or less

$DOGE… https://t.co/DEInZrbugx"
1490111135105929222,"Planning My Trades Using Alerts on TradingView https://t.co/TJwpAHFH8T via @YouTube

#daytrader #Daytrading #Stocks… https://t.co/cGJNFzQkyz"
1490110783459663872,"US Lawmakers Introduce 'Virtual Currency Tax Fairness Act' to Boost Cryptocurrency Use for Payments

$DOGE $AAVE… https://t.co/Kg7ydwKKR6"
1490110779730837506,"RT @snird: **Uncertainty**

Many such deals fall through for various reasons.
Regulation, stinky things coming up in the due diligence, and…"
1490110705072164866,"RT @DefinitionBot: Count of mentions for the tickers in last 1 hr

1. $AMC: 131 (21)
2. $TSLA: 90 (-14)
3. $FB: 89 (-90)
4. $AMZN: 64 (3)
5…"
1490110700265504770,"RT @DefinitionBot: Count of mentions for the tickers in last 1 hr

1. $AMC: 131 (21)
2. $TSLA: 90 (-14)
3. $FB: 89 (-90)
4. $AMZN: 64 (3)
5…"
