Date,User,Tweet,positive_count,negative_count,positive_score,negative_score
2022-02-03,orclinvestments," Count of mentions for the tickers in last 1 hr

1. $AMZN: 1839 (-3310)
2. $FB: 740 (-393)
3. $TSLA: 306 (-119)
4. $AMC:…",0,-1,0.0,-0.9926262497901917
2022-02-03,Gambiste1," Count of mentions for the tickers in last 1 hr

1. $AMZN: 1839 (-3310)
2. $FB: 740 (-393)
3. $TSLA: 306 (-119)
4. $AMC:…",0,-1,0.0,-0.9926262497901917
2022-02-03,MMLCResearch,"China EV Sales: Buffett-Backed BYD's January Sales Skyrocket 362% After Robust Gains For Xpeng, Li Auto https://t.co/YEzCPuMykW",0,-1,0.0,-0.9914142489433289
2022-02-03,itsbownetbow," #NewToForza is Chinese automaker NIO with their fully electric-powered 2016 NIO EP9.

Not road legal? No problem. The ope…",1,0,0.8008132576942444,0.0
2022-02-03,dakshKumar078,"$NIO your average is $54 and you were just margin called . 

Me: ☝ https://t.co/RqhjG28rSO",0,-1,0.0,-0.9968830943107605
2022-02-03,TiredSaya,Got the Nio! https://t.co/5dkkyt7ekv,0,-1,0.0,-0.9860034584999084
2022-02-03,totalinvestor1,$FB $SNAP $MAD $F $AAPL $NIO $SOFI $PYPL $T $PLTR $MSFT $INTC $NVDA $AMC #stocks with highest #trading volume today #stockmarket #investing https://t.co/L5cyOJuHxZ,0,-1,0.0,-0.9907841682434082
2022-02-03,Beast1Life, 7 Electric Vehicle Stocks that Can Outrun Any Market Selloff | InvestorPlace $NIO https://t.co/IuIjcFnHPi,0,-1,0.0,-0.9938644766807556
2022-02-03,KPuczkowskyj," Count of mentions for the tickers in last 1 hr

1. $AMZN: 1839 (-3310)
2. $FB: 740 (-393)
3. $TSLA: 306 (-119)
4. $AMC:…",0,-1,0.0,-0.9926262497901917
2022-02-03,Octobots8," Count of mentions for the tickers in last 1 hr

1. $AMZN: 1839 (-3310)
2. $FB: 740 (-393)
3. $TSLA: 306 (-119)
4. $AMC:…",0,-1,0.0,-0.9926262497901917
2022-02-03,Gambiste1," Pinterest posts first full-year profit and reaches more than $2 billion in sales in 2021, sending stock soaring 

Pinteres…",1,0,0.9929184317588806,0.0
2022-02-03,Gambiste1," Pinterest Earnings Show It's No Facebook. The Stock Is Soaring. | Barron's

Pinterest jumps more than 25% on earnings beat…",1,0,0.9908536672592163,0.0
2022-02-03,TabStocks,Could this Gaming Stock Make Your Investing Portfolio Profitable? https://t.co/BDZzwEBmuO $AAPL $ABNB $AIKI $AMZN $ATVI $BA $BBIG $BKNG $CINE $CMRE $DAC $FB $GME $GOGL $IBM $KNB $LOOP $MSFT $MTRO $NFLX $NIO $NMM $PAYS $PTON $RGC $SPCE $TEF $TOMZ $TSLA $VUSA $ZNGA $ZNOG $ZOOM,0,-1,0.0,-0.999351441860199
2022-02-03,KurtLauman," $NIO They  (SHF)are trying to take us down to test our 🤓 , let's see if we can confirm our Support  at $19, if we go th…",0,-1,0.0,-0.9987308382987976
2022-02-03,KurtLauman," Are you a $NIO long term holder?

(YES)        (YES)        (YES)                          
  👇            👇             👇",0,-1,0.0,-0.9706413745880127
2022-02-03,saikat_a1saikat," Count of mentions for the tickers in last 1 hr

1. $AMZN: 1839 (-3310)
2. $FB: 740 (-393)
3. $TSLA: 306 (-119)
4. $AMC:…",0,-1,0.0,-0.9926262497901917
2022-02-03,phaterpekarA," Count of mentions for the tickers in last 1 hr

1. $AMZN: 1839 (-3310)
2. $FB: 740 (-393)
3. $TSLA: 306 (-119)
4. $AMC:…",0,-1,0.0,-0.9926262497901917
2022-02-03,Veronic17644442," Count of mentions for the tickers in last 1 hr

1. $AMZN: 1839 (-3310)
2. $FB: 740 (-393)
3. $TSLA: 306 (-119)
4. $AMC:…",0,-1,0.0,-0.9926262497901917
2022-02-03,jampirojam, #Java expert  takes you on a tour of NIO’s buffers and channels. https://t.co/bfUbRLpdyi https://t.co/t27b5xlk…,1,0,0.9736690521240234,0.0
2022-02-03,Therese18228995, $ocgn how are people missing they sent over 36 million child data yesterday to FDA showing their vaccine works better than an…,0,-1,0.0,-0.9981347322463989
2022-02-03,KevinHagerty13, $NIO ✅😁The world is now understanding ️ https://t.co/CCrvCLyEcD,0,-1,0.0,-0.9788691401481628
2022-02-03,EmissaryJM,Read... understand... $NIO is setting itself up to be a worldwide quality brand https://t.co/30O4AAG7H6,1,0,0.9974526762962341,0.0
2022-02-03,KurtLauman," $NIO bounced twice on the 38.2% Fib and now looking to convert the 23.6% Fib resistance to support.

A break above $25.2…",0,-1,0.0,-0.9952570796012878
2022-02-03,KurtLauman, #Nio Stock Analysis and Predictions [February] - India Takes On Nio's Battery Swapping Tech... https://t.co/emLeFGXPWm via…,0,-1,0.0,-0.9970108270645142
2022-02-03,KurtLauman, #Nio Stock Analysis and Predictions [February] - Live Nio English Update https://t.co/PQvMqr8NK7 via ,0,-1,0.0,-0.9968686699867249
2022-02-03,Patryk15846234," [Scan results - #FTX - 15m]

Top 5 bullish trend on #PERP pair
1: $ONT
2: $ASD
3: $DODO
4: $SC
5: $MCB

Top 5 bullish tr…",0,-1,0.0,-0.9986283779144287
2022-02-03,JessePi16223066," [Scan results - #FTX - 15m]

Top 5 bullish trend on #PERP pair
1: $ONT
2: $ASD
3: $DODO
4: $SC
5: $MCB

Top 5 bullish tr…",0,-1,0.0,-0.9986283779144287
2022-02-03,KurtLauman, #Nio Stock Analysis and Predictions [February] - Nio Is Trending More Than Ever... https://t.co/9UQjppwDvH via ,0,-1,0.0,-0.9376319646835327
2022-02-03,Gambiste1," PINS Stock Soars On Big Earnings Beat

Pinterest Earnings Show It's No Facebook. The Stock Is Sharing

Pinterest jumps mor…",0,-1,0.0,-0.9950278401374817
2022-02-03,yukilovei8," #NewToForza is Chinese automaker NIO with their fully electric-powered 2016 NIO EP9.

Not road legal? No problem. The ope…",1,0,0.8008132576942444,0.0
2022-02-03,lhUsiWrfIhaP8yR," Count of mentions for the tickers in last 1 hr

1. $AMZN: 1839 (-3310)
2. $FB: 740 (-393)
3. $TSLA: 306 (-119)
4. $AMC:…",0,-1,0.0,-0.9926262497901917
2022-02-03,Pragya759," Count of mentions for the tickers in last 1 hr

1. $AMZN: 1839 (-3310)
2. $FB: 740 (-393)
3. $TSLA: 306 (-119)
4. $AMC:…",0,-1,0.0,-0.9926262497901917
2022-02-03,Nio_3TALK,Running in the 90's ~,0,-1,0.0,-0.9534010887145996
2022-02-03,BezosCrypto," PINS Stock Soars On Big Earnings Beat

Pinterest Earnings Show It's No Facebook. The Stock Is Sharing

Pinterest jumps mor…",0,-1,0.0,-0.9950278401374817
2022-02-03,BezosCrypto," Pinterest Earnings Show It's No Facebook. The Stock Is Soaring. | Barron's

Pinterest jumps more than 25% on earnings beat…",1,0,0.9908536672592163,0.0
2022-02-03,BezosCrypto," Pinterest posts first full-year profit and reaches more than $2 billion in sales in 2021, sending stock soaring 

Pinteres…",1,0,0.9929184317588806,0.0
2022-02-03,BezosCrypto," Pinterest jumps more than 25% on earnings beat as tech stocks bounce back

Snap Stock Soars 62% On Quarterly Earnings Beat…",1,0,0.6162211894989014,0.0
2022-02-03,BezosCrypto," Snap, Pinterest (PINS) Soar After Earnings Results Dispel Facebook-Fueled Fears - Bloomberg

Snap Stock Soars 62% On Quart…",0,-1,0.0,-0.9146085977554321
2022-02-03,BezosCrypto," Snap stock soars on earnings beat, quarterly profit milestone - Axios

Snap Stock Soars 62% On Quarterly Earnings Beat | I…",0,-1,0.0,-0.5251452326774597
2022-02-03,BezosCrypto," Snap Inc. Announces Fourth Quarter and Full Year 2021 Financial Results

Snap Stock Soars 62% On Quarterly Earnings Beat |…",1,0,0.9880920648574829,0.0
2022-02-03,BezosCrypto," Snap Stock Is Soaring on a Surprise Profit. It's Not Facebook. | Barron's

Snap Q4 2021 earnings

Snap Stock Soars 62% On…",1,0,0.9948683977127075,0.0
2022-02-03,BezosCrypto," Snap Q4 2021 earnings

Snap Stock Soars 62% On Quarterly Earnings Beat | Investor's Business Daily
$SNAP $TWTR $PINS $PFE…",1,0,0.8337106108665466,0.0
2022-02-03,BezosCrypto," Snap Stock Soars 62% On Quarterly Earnings Beat | Investor's Business Daily
$SNAP $TWTR $PINS $PFE $NIO $AMC $QEBR $MJNA
#…",0,-1,0.0,-0.8629034757614136
2022-02-03,FlyingKulau," Chinese cars would have been more appropriate during the Chinese New Year seasonal events. The Nio handles well and has some nice acceleration, but a top speed of 195mph on the open highway isn't great for an S2-998 car.",0,-1,0.0,-0.983606219291687
2022-02-03,mfklcp,"$NIO so lots of money in
Media- of course COVID.  Tech is strong, oil is strong and EVs should be on fire soon, especially NIO with ET 5&amp;7 coming on soon ️",1,0,0.9644966125488281,0.0
2022-02-03,JumpBeach,"Watch ""NIO STOCK PRICE, NIO JAN DELIVERIES, NIO INC ADR STOCK UPDATE"" on YouTube https://t.co/vHpeKQU2f8",0,-1,0.0,-0.9953175783157349
2022-02-03,Gxsss5," Count of mentions for the tickers in last 1 hr

1. $AMZN: 1839 (-3310)
2. $FB: 740 (-393)
3. $TSLA: 306 (-119)
4. $AMC:…",0,-1,0.0,-0.9926262497901917
2022-02-03,AisharyaG," Count of mentions for the tickers in last 1 hr

1. $AMZN: 1839 (-3310)
2. $FB: 740 (-393)
3. $TSLA: 306 (-119)
4. $AMC:…",0,-1,0.0,-0.9926262497901917
2022-02-03,PreethamMS8," Count of mentions for the tickers in last 1 hr

1. $AMZN: 1839 (-3310)
2. $FB: 740 (-393)
3. $TSLA: 306 (-119)
4. $AMC:…",0,-1,0.0,-0.9926262497901917
2022-02-03,stnor,    MobilEye delivers systems to OEM:s like BMW and Zeekr for example. Other OEM:s with L2 are XPeng and NIO.,1,0,0.9392948150634766,0.0
2022-02-03,kevindelahunty7, $ocgn how are people missing they sent over 36 million child data yesterday to FDA showing their vaccine works better than an…,0,-1,0.0,-0.9981347322463989
2022-02-03,KurtLauman,#Nio Stock Analysis and Predictions [February] - Nio Is Trending More Than Ever... https://t.co/9UQjppwDvH via ,0,-1,0.0,-0.9376319646835327
2022-02-03,LatinMixMasters,"Estas Escuchando la #1 en REGAETTON Now playing on LMM REGGAETON RADIO: Frontiar by Nesi,Nio Garcia,DJ Luian,Mambo Kingz! Tune in now: 
Android App https://t.co/czmKU8Q1sh
Iphone App
https://t.co/TjWioRhPAq",0,-1,0.0,-0.974287748336792
2022-02-03,Silverkey027," #NewToForza is Chinese automaker NIO with their fully electric-powered 2016 NIO EP9.

Not road legal? No problem. The ope…",1,0,0.8008132576942444,0.0
2022-02-03,krisnakalo,"Top Options by Volume
$AAPL $AMC $TSLA $NIO $FB $WISH $BABA $CCL $PLTR $AMD https://t.co/uwop6kI3cq",0,-1,0.0,-0.9976915121078491
2022-02-03,Silver305," #NewToForza is Chinese automaker NIO with their fully electric-powered 2016 NIO EP9.

Not road legal? No problem. The ope…",1,0,0.8008132576942444,0.0
2022-02-03,indomiejumboo,"$NIO $FB 
Fucken Cramer! 📢 https://t.co/y7J3YJXx59",0,-1,0.0,-0.9992332458496094
