,User,Tweet,Time
0,AmakaCd,RT @delltronic2: @Scarcity_Mining @AmakaCd @novogratz In actuality the #ETH/BTC ratio and value has been trending up since 2020. https://t.…,2022-02-09 13:56:57+00:00
1,ibrhm0172,"RT @hakanrecepogluu: #Bitcoin 

Arkadaşlar elinizde zararda olan coin varsa alış fiyatının ekran resmiyle birlikte bu tweet'in altına yorum…",2021-01-28 12:36:44+00:00
2,moon_bore,"RT @kundunsan: In one week circulating supply decreased 9.3B $MCC 🔥

What’s next?

-Multi Nodes with 1% daily passive income 
-Multi print…",2021-10-07 17:40:33+00:00
3,TheRwopsa,"RT @LATESTDAONEWS: Since we have invested in #Looksrare 🚀 

Let's spread the word about this awesome NFT Platform that Reward their traders…",2020-09-28 20:10:23+00:00
4,ts808hw,"RT @JasonPLowery: At this rate, by the time I finish my thesis urging my superiors to consider the strategic importance of #BTC , US will h…",2017-01-05 21:21:08+00:00
5,intopjm95,"RT @Heather99924565: In case you missed it:

@2112run is in public sale, Epics are minted out already. 

Rare and Epic land plots can be re…",2022-01-30 10:05:28+00:00
6,mrjoshman007,"Trending on #LunarCrush:

""11 years ago today, Bitcoin reached $1"" via @CryptoSlate

Top coin mentions
$btc

https://t.co/abCzkesHcs https://t.co/5YO8wS6dZa",2021-10-29 20:59:09+00:00
7,Squigs1618,"RT @kratos_harmony: .@harmonyprotocol $ONE &lt;&gt; $BTC bridge 🌉 active vaults count is 31, decentralized collaboration of open operators &amp; part…",2021-11-28 00:13:54+00:00
8,flatkale,"RT @lostpropheteth: I just acquired 94,000 BTC.  Was thinking of sweeping the floor.  Maybe @alienfrens ?",2022-01-17 20:56:48+00:00
9,RiochtNaSaor,"RT @GoldCore: Gareth Soloway @GarethSoloway was bearish on #Bitcoin at $68k.
That call was spot on!
He's now making another big call on #BT…",2015-06-26 19:14:04+00:00
10,Rezeki_Faiz18,"RT @LATESTDAONEWS: Since we have invested in #Looksrare 🚀 

Let's spread the word about this awesome NFT Platform that Reward their traders…",2021-12-16 00:54:58+00:00
11,Knupel59,"@AltcoinDailyio BTC, ETH… that‘s it. 👍",2021-11-09 13:59:36+00:00
12,BTC_Cannon,"""It's going to a million."" Probably. But it's going to go up and dump a bunch of times along the way. https://t.co/BW6lvaOkGn",2015-10-11 05:29:34+00:00
13,LATESTDAONEWS,"@LooksRareNFT 🏆 100 Looks has a value of approx $400 ✅

Follow 

✅ @LooksRareNFT &amp; @LATESTDAONEWS 

&amp; Retweet Tweet Above 👆

Make sure to write your eth address.

#btc #airdrop #bounty #opensea #eth #follow #crypto #nft #nfttrading #BAYC #looks #bitcoin #ethereum #looksrare

Good Luck 😀",2017-12-29 01:08:43+00:00
14,metaverse_vr007,@motomushi @JohalMiles Yes and also the btc maxi coming out to fud 🤣,2021-04-01 18:13:05+00:00
15,EricMentis,"RT @BinanceUS: Feeling lucky?

We're giving away $2,100 in $BTC to one lucky winner!

How to enter:
✅ Follow @BinanceUS on Twitter
✅ Retwee…",2009-03-12 15:18:13+00:00
16,CryptoMartin99,"I couldn't be happier guys 🥳🔥🦍
Today was the reveal of @SpaceXApes 
Look what I got 

#NFT #Metaverse #SolanaNFTs #Solana #BTC https://t.co/jsNT9zqy2Q",2022-02-01 18:13:56+00:00
17,kessef212,"#Bitcoin accepté par la Russie, haha, Poutine a relancé le bull run a lui tout seul. #BTC #DeFi #NFTsCommunity #NFT",2021-11-17 20:13:22+00:00
18,TheOnionCEO,@xprofessordmtx @GT3_BTC https://t.co/edykudqgxI,2020-09-21 23:18:32+00:00
19,GabrielBenderF1,RT @babydoge_usa: 🚀🚀🚀 Baby Doge To The Moon Soon 🚀 #BabyDogeCoin #BabyDogeClub #BabyDoge #BabyDogeArmy #Bitcoin #Btc #Ethereum #BNB #Binanc…,2021-04-18 16:53:58+00:00
20,Femisonic,"HEY SOFTWARE DEVELOPERS, TAKE THIS SURVEY AND WIN A MACBOOK
https://t.co/RLKrSgjmK0

#web3
#NFTs
#softwaredevelopment #Metaverse #MATIC 
#javascript
#Angular
#olosho
#Metaverse
#TechUK 
#NFTCommunity
#SamsungUnpacked
#blockchain
#BTC 
#Java  #knack #Papaya #JusticeForHeritage https://t.co/1spO4fRulF",2017-01-20 15:34:22+00:00
21,KriptoChef,"@HseyinKurtboga1 BTC yükselişine devam eder , aşağı salmaz ise geçebilir tabi ki.",2020-08-11 12:17:21+00:00
22,LunhatiCs,"RT @Multicripto: https://t.co/dLbSEHJV8c

Los federales arrestan una pareja y se hacen con 94636 BTC relacionados con el hack de Bitfinex e…",2019-03-17 02:57:48+00:00
23,btctakip13,"RT @Gem_Ustasi: 💎The MetaBody Giveaway💎

5 Kişi, 5 adet #Whitelist hakkı kazanacak!

1 Kişi 100 TL 💸ödül kazanacak!

⚡️Şartlar⚡️
1️⃣BEĞEN❤️…",2021-03-13 19:33:38+00:00
24,Satonaire,"RT @IIICapital: There is no other asset like #Bitcoin. 

The asymmetric opportunity to buy $BTC at $0.04M is incredible.",2011-09-01 10:17:25+00:00
25,tacotpyrc,"@GandalfEducator @SafeMoonZeus $FETA #cheesepushers

https://t.co/LrsdRYD4MG
@FetaFinancial 
 
no pre-sale, no paid callers to dump, locked liq, early investoooorrs out, under 1m mktcap

$FETA $CHEDDA $DOGE $SHIB $FLOKI #SAITAMA $SHINJA $ETH $BSC $BTC $ADA $SOL $AVAX",2009-04-29 12:22:39+00:00
26,GkhanEvirgen4,RT @airdropbukucu: @VitaInuCoin seni sonuna kadar destekliyorum. Farkınla herkese kanıtlayacaksın ne kadar büyük bir proje olduğunu. Aldım…,2021-05-17 21:12:05+00:00
27,mnj038580,"RT @Xanastrology: همچنان در حال بررسی تعاملات فوریه هستم
 تعاملی دیدم که از ۱۴ و ۱۵ فوریه به بعد بسیار برای مارکت کریپتو مثبت و قدرتمند است…",2021-12-25 10:52:18+00:00
28,HODL_HODL_BTC,"RT @zerohedge: ""They Will Not Silence Me"": Doctor Who Discovered Omicron Was Pressured Not To Reveal It's Mild https://t.co/vjkwKfV1rB",2009-08-10 17:29:12+00:00
29,abdulsamievulla,RT @Trader_Jibon: $BTC has Pumped 33-45K.  All Indicators are giving Bullish Signals. Public Sentiment is Bullish. But I Found this Interes…,2010-02-26 14:11:59+00:00
30,VincentKeever,RT @Pankajchandra94: #SHIB is next BTC.,2020-08-31 11:11:17+00:00
31,bmurphypointman,#entrepreneurs #selfemployed #digitalmarketing #DigitalMarketing  #dogecoin #bitcoin #btc  #digitalmarketing #gift #shopping #gifts #onlineshopping #dogecoin #bitcoin #marketing #affiliatemarketing #freeshipping #ad #Amazon https://t.co/YHY7MVo7F6,2012-06-25 04:38:20+00:00
32,Ceylan37217004,"RT @coinimanalizde: "" Detaylı araştırmak için zamanım olmadı.  2 dürüst soru.

 Bitfinex hack'ten para mı kazandı yoksa kaybetti mi?

 BTC'…",2019-03-30 12:43:23+00:00
33,metareformation,"Snoopy Inu Token, has been added to our #DeFi website. The information we have about the #token is as follows. It is not investment advice.
#btc #bnb #eth #crypto #doge #tokarm #fxglob
 https://t.co/9iRvXieHPu",2021-04-07 14:51:52+00:00
34,Khophoza1,"@BTCTN $DBA Token @DafriXchange, LBank, Hotbit, Pancakeswap, P2PB2B, Hotbit, Latoken, be ready for other Cex listing
 #Metaverse #GameFi #BSCGem #Solanart #nftart #BTC￼ #Crypto #altcoin #Ethereum #BSC￼ #Metaverse #Solana￼ #NFTs #TRX  #ETH",2021-05-06 03:52:43+00:00
35,scottjulie76,@CrytoDukie Dm rn with your btc wallet 🎁,2020-08-24 04:23:46+00:00
36,Thetechnopig,"RT @DerrickTheRick: @CryptoCommandr $JEDI is the next Big Thing
🚀Locked liquidity
🚀Certik Audit Applied for
🚀CMC CG Applied for
🚀#CG #CMC #…",2011-08-14 14:01:01+00:00
37,CryptoMG6,"RT @MrRobbieD: The @RichardHeartWin v. @PeterSchiff debate is coming up on Feb 23, 2022. Who's excited?  
RT to spread the word!

#Cryptocu…",2021-07-18 23:27:49+00:00
38,HamdalahBigwin,"RT @LATESTDAONEWS: Since we have invested in #Looksrare 🚀 

Let's spread the word about this awesome NFT Platform that Reward their traders…",2013-01-16 23:14:37+00:00
39,ArtimusLeton,"@AltcoinDailyio My $NEAR will still be $stNEAR and my $OCT will be held in my validator. $BTC, $LTC and a few other novel DAGs and concepts will still have my love, but I'll be focused on the most scalable platform in crypto today, and that's @NEARProtocol",2012-10-07 00:11:59+00:00
40,crypto910bot,"直近1分間で大きな価格変動がありました
BTC-MOVE-0209    -4.90%",2021-12-16 15:18:22+00:00
41,frwrdslosh,"RT @harmonyprotocol: 3/ The @harmonyprotocol bridge can be used to bridge your BTC to Harmony seamlessly. Here's how:

1️⃣Connect your meta…",2011-12-11 23:37:49+00:00
42,stock4632,"Keep ,doubting $ICP, you guys will, fomo, above ,$200 dollar .soon.,
https://t.co/9ksXmQnGj3

$MATIC $ADA $MIR $SHIBA $DOGE $LINA $MIN $PYPL $BTC 
#StockMarket https://t.co/6o65VpZ9MS",2021-10-16 06:20:59+00:00
43,AlertingCryptos,"[ $BTC ] Bitcoin  
Crypto &amp; Valentine’s Day: Survey Suggests There’s $1B+ In Burning Desire For Digital Assets
 https://t.co/T7V9AHHpaC",2021-11-26 23:57:13+00:00
44,Mudassi21534365,"RT @cbw_nft: $3 worth of $CRASH to all qualified users
$100 BNB to 100 lucky winners

🔥Follow
🔥Retweet &amp; Tag 3 Friends
🔥Comment your BSC wa…",2018-11-17 11:40:24+00:00
45,koowinous,"RT @LATESTDAONEWS: Since we have invested in #Looksrare 🚀 

Let's spread the word about this awesome NFT Platform that Reward their traders…",2020-07-06 09:37:29+00:00
46,knrubar,"@BTC_Archive BlackRock is providing real protections where @GaryGensler cannot.

Stop protect us Gary!

#Bitcoin saves us all!
#ApproveSpotBTCETF",2009-05-03 21:30:38+00:00
47,FuturFlo,"RT @CryptoNewsCAN: #CryptoNews: 😱

*Russia to treat #Bitcoin &amp; Crypto as currencies

*Blackrock to offer Bitcoin &amp; #Crypto trading

*NASDAQ…",2016-02-05 23:16:06+00:00
48,ReddyBePo,RT @staboi0x: $BEETS @beet emissions dropped I guess as Dante Pool already showing 500% APY :) - containing $btc $eth $beets $ftm $wsta.…,2017-06-20 19:07:45+00:00
49,marscityxxx,"RT @Crypt0m4j0r: 🔥CMS &amp; DEXTOOLS TRENDING🔥

#ETH #ETHEREUM #Presale #BSCGem #BSCGems #BTC  #Rewards #dogecoin #shiba #FLOKI #MOONSHOT #Baby…",2021-12-02 02:18:34+00:00
50,Dan6erbond,"RT @CryptoWhisperrr: $VRA GIVEAWAY $500 
Rules:
Like follow and retweet 

When VRA breaks $0.04 we’ll announce the winner.  
Best of luck e…",2016-06-20 05:20:51+00:00
51,Silver_Gold_U,@LawrenceLepard bought my first BTC in the $200 range. i am very keen on crypto and the space. the newbies in it (and there are MANY) pushing their (desired) narratives are the issue. not BTC.,2019-10-06 18:46:53+00:00
